NT,dtype,M,N,K,kernel_latency_dense,kernel_latency_sparse,kernel_latency_delta,perf_cycles_dense,perf_cycles_sparse,perf_cycles_delta,perf_instrs_dense,perf_instrs_sparse,perf_instrs_delta,kloop_instrs_dense,kloop_instrs_sparse,kloop_instrs_delta,regression
32,fp16,32,32,128,7246,5299,-1947,8462,6873,-1589,1612,1296,-316,48,42,-6,no
32,fp16,32,32,256,11718,7301,-4417,14262,10210,-4052,2876,2208,-668,48,42,-6,no
32,fp16,32,32,64,5000,3774,-1226,6220,5356,-864,980,840,-140,48,42,-6,no
32,fp16,64,64,128,27721,24071,-3650,29003,25380,-3623,6400,5136,-1264,48,42,-6,no
32,fp16,64,64,256,50438,40215,-10223,51729,41529,-10200,11456,8784,-2672,48,42,-6,no
32,fp16,64,64,64,18196,15034,-3162,19480,16346,-3134,3872,3312,-560,48,42,-6,no
32,int4,32,32,128,3232,2422,-810,6135,5458,-677,944,816,-128,45,41,-4,no
32,int4,32,32,256,5466,4067,-1399,8231,7073,-1158,1552,1264,-288,45,41,-4,no
32,int4,32,32,64,2043,1557,-486,4975,4604,-371,640,592,-48,45,41,-4,no
32,int4,64,64,128,17507,15483,-2024,18790,16788,-2002,3728,3216,-512,45,41,-4,no
32,int4,64,64,256,27326,23538,-3788,28606,24840,-3766,6160,5008,-1152,45,41,-4,no
32,int4,64,64,64,14150,12604,-1546,15434,13918,-1516,2512,2320,-192,45,41,-4,no
32,int8,32,32,128,3232,2334,-898,6135,5436,-699,944,808,-136,45,40,-5,no
32,int8,32,32,256,5466,3885,-1581,8231,6973,-1258,1552,1248,-304,45,40,-5,no
32,int8,32,32,64,2043,1498,-545,4975,4602,-373,640,588,-52,45,40,-5,no
32,int8,64,64,128,17507,14834,-2673,18790,16140,-2650,3728,3184,-544,45,40,-5,no
32,int8,64,64,256,27326,22335,-4991,28606,25062,-3544,6160,4944,-1216,45,40,-5,no
32,int8,64,64,64,14150,12639,-1511,15434,13951,-1483,2512,2304,-208,45,40,-5,no
8,fp16,32,32,128,24930,17631,-7299,25622,18326,-7296,11456,8768,-2688,48,42,-6,no
8,fp16,32,32,256,46664,33086,-13578,47353,33767,-13586,21568,16064,-5504,48,42,-6,no
8,fp16,32,32,64,15056,11551,-3505,15742,12252,-3490,6400,5120,-1280,48,42,-6,no
8,fp16,64,64,128,97005,75289,-21716,97696,75979,-21717,45776,35024,-10752,48,42,-6,no
8,fp16,64,64,256,194911,145144,-49767,195604,145834,-49770,86224,64208,-22016,48,42,-6,no
8,fp16,64,64,64,49445,39402,-10043,50138,40085,-10053,25552,20432,-5120,48,42,-6,no
8,int4,32,32,128,14433,11855,-2578,15119,12555,-2564,6160,5008,-1152,45,41,-4,no
8,int4,32,32,256,21707,17450,-4257,22395,18144,-4251,11024,8592,-2432,45,41,-4,no
8,int4,32,32,64,9887,8080,-1807,10594,8786,-1808,3728,3216,-512,45,41,-4,no
8,int4,64,64,128,48957,39069,-9888,49650,39752,-9898,24592,19984,-4608,45,41,-4,no
8,int4,64,64,256,95413,74349,-21064,96108,75035,-21073,44048,34320,-9728,45,41,-4,no
8,int4,64,64,64,31367,27545,-3822,32060,28235,-3825,14864,12816,-2048,45,41,-4,no
8,int8,32,32,128,14433,11169,-3264,15119,11872,-3247,6160,4960,-1200,45,40,-5,no
8,int8,32,32,256,21707,16928,-4779,22395,17622,-4773,11024,8480,-2544,45,40,-5,no
8,int8,32,32,64,9887,8004,-1883,10594,8703,-1891,3728,3200,-528,45,40,-5,no
8,int8,64,64,128,48957,37995,-10962,49650,38678,-10972,24592,19792,-4800,45,40,-5,no
8,int8,64,64,256,95413,73009,-22404,96108,74219,-21889,44048,33872,-10176,45,40,-5,no
8,int8,64,64,64,31367,27347,-4020,32060,28046,-4014,14864,12752,-2112,45,40,-5,no
