app,NT,dtype,M,N,K,kernel_latency,perf_cycles,perf_instrs,kloop_instrs,status,walltime_s
sgemm_tcu,8,int4,32,32,64,9887,10594,3728,45,PASSED,7
sgemm_tcu,8,int4,32,32,128,14433,15119,6160,45,PASSED,1
sgemm_tcu,8,int4,32,32,256,21707,22395,11024,45,PASSED,0
sgemm_tcu,8,int4,64,64,64,31367,32060,14864,45,PASSED,1
sgemm_tcu,8,int4,64,64,128,48957,49650,24592,45,PASSED,0
sgemm_tcu,8,int4,64,64,256,95413,96108,44048,45,PASSED,1
sgemm_tcu_sp,8,int4,32,32,64,8080,8786,3216,41,PASSED,0
sgemm_tcu_sp,8,int4,32,32,128,11855,12555,5008,41,PASSED,1
sgemm_tcu_sp,8,int4,32,32,256,17450,18144,8592,41,PASSED,0
sgemm_tcu_sp,8,int4,64,64,64,27545,28235,12816,41,PASSED,1
sgemm_tcu_sp,8,int4,64,64,128,39069,39752,19984,41,PASSED,0
sgemm_tcu_sp,8,int4,64,64,256,74349,75035,34320,41,PASSED,1
sgemm_tcu,8,int8,32,32,64,9887,10594,3728,45,PASSED,3
sgemm_tcu,8,int8,32,32,128,14433,15119,6160,45,PASSED,0
sgemm_tcu,8,int8,32,32,256,21707,22395,11024,45,PASSED,1
sgemm_tcu,8,int8,64,64,64,31367,32060,14864,45,PASSED,0
sgemm_tcu,8,int8,64,64,128,48957,49650,24592,45,PASSED,1
sgemm_tcu,8,int8,64,64,256,95413,96108,44048,45,PASSED,0
sgemm_tcu_sp,8,int8,32,32,64,8004,8703,3200,40,PASSED,1
sgemm_tcu_sp,8,int8,32,32,128,11169,11872,4960,40,PASSED,0
sgemm_tcu_sp,8,int8,32,32,256,16928,17622,8480,40,PASSED,0
sgemm_tcu_sp,8,int8,64,64,64,27347,28046,12752,40,PASSED,1
sgemm_tcu_sp,8,int8,64,64,128,37995,38678,19792,40,PASSED,0
sgemm_tcu_sp,8,int8,64,64,256,73009,74219,33872,40,PASSED,1
sgemm_tcu,8,fp16,32,32,64,15056,15742,6400,48,PASSED,7
sgemm_tcu,8,fp16,32,32,128,24930,25622,11456,48,PASSED,1
sgemm_tcu,8,fp16,32,32,256,46664,47353,21568,48,FAILED,0
sgemm_tcu,8,fp16,64,64,64,49445,50138,25552,48,PASSED,1
sgemm_tcu,8,fp16,64,64,128,97005,97696,45776,48,PASSED,1
sgemm_tcu,8,fp16,64,64,256,194911,195604,86224,48,FAILED,1
sgemm_tcu_sp,8,fp16,32,32,64,11551,12252,5120,42,PASSED,0
sgemm_tcu_sp,8,fp16,32,32,128,17631,18326,8768,42,PASSED,1
