NT,Type,M,N,K,Dense_Cycles,Dense_Status,Sparse_Cycles,Sparse_Status,Speedup
2,fp16,8,8,32,18295,PASSED,16087,PASSED,1.14x
2,fp16,16,16,32,34039,PASSED,30355,PASSED,1.12x
2,fp16,16,16,64,46234,PASSED,42400,PASSED,1.09x
2,fp16,32,32,64,138343,PASSED,132724,PASSED,1.04x
2,fp16,32,32,128,238750,FAILED,231967,PASSED,1.03x
2,fp16,32,32,256,465340,FAILED,450115,FAILED,1.03x
2,fp16,32,32,512,980800,FAILED,896893,FAILED,1.09x
2,fp16,32,32,1024,1892227,FAILED,1828195,FAILED,1.04x
2,fp16,32,32,2048,4367116,FAILED,3581929,FAILED,1.22x
2,fp16,32,32,4096,9313609,FAILED,7604749,FAILED,1.22x
2,fp16,64,64,64,508843,FAILED,496267,PASSED,1.03x
2,fp16,64,64,256,2028718,FAILED,1890769,FAILED,1.07x
2,fp16,64,64,512,4151848,FAILED,3872002,FAILED,1.07x
2,fp16,64,64,1024,8729386,FAILED,7570474,FAILED,1.15x
2,fp16,64,64,2048,18894319,FAILED,15045757,FAILED,1.26x
2,fp16,64,64,4096,38641981,FAILED,36846100,FAILED,1.05x
2,fp16,128,128,512,17936026,FAILED,18196522,FAILED,0.99x
2,fp16,128,128,1024,36085564,FAILED,36242710,FAILED,1.00x
2,fp16,128,128,2048,77364178,FAILED,73183606,FAILED,1.06x
2,fp16,128,128,4096,N/A,FAILED,N/A,FAILED,N/A
2,int8,8,8,32,18091,PASSED,15952,PASSED,1.13x
2,int8,16,16,32,35359,PASSED,27661,PASSED,1.28x
2,int8,16,16,64,41971,PASSED,37177,PASSED,1.13x
2,int8,32,32,64,131638,PASSED,115330,PASSED,1.14x
2,int8,32,32,128,204055,PASSED,192049,PASSED,1.06x
2,int8,32,32,256,359347,PASSED,352519,PASSED,1.02x
2,int8,32,32,512,705433,PASSED,691012,PASSED,1.02x
2,int8,32,32,1024,1394614,PASSED,1390198,PASSED,1.00x
2,int8,32,32,2048,2879929,PASSED,2767573,PASSED,1.04x
2,int8,32,32,4096,6314983,PASSED,5486905,PASSED,1.15x
2,int8,64,64,64,472948,PASSED,423166,PASSED,1.12x
2,int8,64,64,256,1543213,PASSED,1449568,PASSED,1.06x
2,int8,64,64,512,3270595,PASSED,3040699,PASSED,1.08x
2,int8,64,64,1024,6354004,PASSED,5953060,PASSED,1.07x
2,int8,64,64,2048,12276205,PASSED,11755390,PASSED,1.04x
2,int8,64,64,4096,25888570,PASSED,23360587,PASSED,1.11x
2,int8,128,128,512,13031524,PASSED,12174754,PASSED,1.07x
2,int8,128,128,1024,30010729,PASSED,23948347,PASSED,1.25x
2,int8,128,128,2048,60240745,PASSED,47438887,PASSED,1.27x
2,int8,128,128,4096,121293259,PASSED,94305439,PASSED,1.29x
2,int4,8,8,32,14269,PASSED,13714,PASSED,1.04x
2,int4,16,16,32,20428,PASSED,19567,PASSED,1.04x
2,int4,16,16,64,24385,PASSED,22942,PASSED,1.06x
2,int4,32,32,64,61546,PASSED,53416,PASSED,1.15x
2,int4,32,32,128,97246,PASSED,84037,PASSED,1.16x
2,int4,32,32,256,170041,PASSED,140995,PASSED,1.21x
2,int4,32,32,512,345301,PASSED,272710,PASSED,1.27x
2,int4,32,32,1024,681439,PASSED,544639,PASSED,1.25x
2,int4,32,32,2048,1406095,PASSED,1217527,PASSED,1.15x
2,int4,32,32,4096,4434121,PASSED,3039754,PASSED,1.46x
2,int4,64,64,64,207841,PASSED,172303,PASSED,1.21x
2,int4,64,64,256,690565,PASSED,549217,PASSED,1.26x
2,int4,64,64,512,1367497,PASSED,1102735,PASSED,1.24x
2,int4,64,64,1024,2746672,PASSED,2172424,PASSED,1.26x
2,int4,64,64,2048,5787226,PASSED,4605439,PASSED,1.26x
2,int4,64,64,4096,17953348,PASSED,11590741,PASSED,1.55x
2,int4,128,128,512,5602735,PASSED,4440694,PASSED,1.26x
2,int4,128,128,1024,11214787,PASSED,8685904,PASSED,1.29x
2,int4,128,128,2048,23765908,PASSED,18001858,PASSED,1.32x
2,int4,128,128,4096,72949555,PASSED,46976050,PASSED,1.55x
4,fp16,8,8,32,16657,PASSED,16879,PASSED,0.99x
4,fp16,16,16,32,25804,PASSED,26590,PASSED,0.97x
4,fp16,16,16,64,30880,PASSED,33415,PASSED,0.92x
4,fp16,32,32,64,71146,FAILED,85822,PASSED,0.83x
4,fp16,32,32,128,109438,FAILED,146722,PASSED,0.75x
4,fp16,32,32,256,211456,FAILED,277213,FAILED,0.76x
4,fp16,32,32,512,410845,FAILED,521797,FAILED,0.79x
4,fp16,32,32,1024,810217,FAILED,1045111,FAILED,0.78x
4,fp16,32,32,2048,2063908,FAILED,2051077,FAILED,1.01x
4,fp16,32,32,4096,3901873,FAILED,4515088,FAILED,0.86x
4,fp16,64,64,64,226258,FAILED,290452,PASSED,0.78x
4,fp16,64,64,256,782074,FAILED,1076302,FAILED,0.73x
4,fp16,64,64,512,1584301,FAILED,2123149,FAILED,0.75x
4,fp16,64,64,1024,3264514,FAILED,3942154,FAILED,0.83x
4,fp16,64,64,2048,7937935,FAILED,8245843,FAILED,0.96x
4,fp16,64,64,4096,17607757,FAILED,17782678,FAILED,0.99x
4,fp16,128,128,512,6457165,FAILED,8388463,FAILED,0.77x
4,fp16,128,128,1024,14739031,FAILED,16786663,FAILED,0.88x
4,fp16,128,128,2048,34482817,FAILED,33027505,FAILED,1.04x
4,fp16,128,128,4096,76607449,FAILED,73461325,FAILED,1.04x
4,int8,8,8,32,16138,PASSED,15874,PASSED,1.02x
4,int8,16,16,32,24328,PASSED,24385,PASSED,1.00x
4,int8,16,16,64,27328,PASSED,28663,PASSED,0.95x
4,int8,32,32,64,61186,PASSED,68662,PASSED,0.89x
4,int8,32,32,128,89926,PASSED,104266,PASSED,0.86x
4,int8,32,32,256,145876,PASSED,180619,PASSED,0.81x
4,int8,32,32,512,277120,PASSED,336664,PASSED,0.82x
4,int8,32,32,1024,514636,PASSED,651943,PASSED,0.79x
4,int8,32,32,2048,1130065,PASSED,1288411,PASSED,0.88x
4,int8,32,32,4096,2509291,PASSED,2550721,PASSED,0.98x
4,int8,64,64,64,188761,PASSED,223063,PASSED,0.85x
4,int8,64,64,256,610525,PASSED,709705,PASSED,0.86x
4,int8,64,64,512,1298695,PASSED,1428379,PASSED,0.91x
4,int8,64,64,1024,2501500,PASSED,2696272,PASSED,0.93x
4,int8,64,64,2048,5022130,PASSED,5463418,PASSED,0.92x
4,int8,64,64,4096,11199820,PASSED,11252977,PASSED,1.00x
4,int8,128,128,512,4977829,PASSED,5690065,PASSED,0.87x
4,int8,128,128,1024,9519463,PASSED,11116546,PASSED,0.86x
4,int8,128,128,2048,21007780,PASSED,21855373,PASSED,0.96x
4,int8,128,128,4096,44881693,PASSED,44825842,PASSED,1.00x
4,int4,8,8,32,14827,PASSED,14965,PASSED,0.99x
4,int4,16,16,32,20311,PASSED,20179,PASSED,1.01x
4,int4,16,16,64,22105,PASSED,22852,PASSED,0.97x
4,int4,32,32,64,38317,PASSED,45754,PASSED,0.84x
4,int4,32,32,128,51670,PASSED,67945,PASSED,0.76x
4,int4,32,32,256,82084,PASSED,116935,PASSED,0.70x
4,int4,32,32,512,151909,PASSED,218254,PASSED,0.70x
4,int4,32,32,1024,301537,PASSED,428083,PASSED,0.70x
4,int4,32,32,2048,973390,PASSED,950605,PASSED,1.02x
